state,month,vmt,ndvi,flights,co_mean,co_max1_value,co_max1_hour,co_aqi,no2_mean,no2_max1_value,no2_max1_hour,no2_aqi,pm25_mean,pm25_max1_value,pm25_max1_hour,pm25_aqi,pm10_mean,pm10_max1_value,pm10_max1_hour,pm10_aqi,so2_mean,so2_max1_value,so2_max1_hour,so2_aqi,o3_mean,o3_max1_value,o3_max1_hour,o3_aqi,awnd,prcp,tavg,tmax,tmin,snow,snwd,ihd_deaths,copd_deaths,asthma_deaths
Maryland,2024-11,4722.0,0.4984572157185611,16937.0,0.1646462932098765,0.2468938271604938,8.966666666666667,2.3395061728395063,8.888999204814816,16.95548148148148,12.36962962962963,15.545555555555556,5.436641796680778,8.67304259480409,5.411150033448884,29.1760142112316,8.5,8.5,0.0,7.766666666666667,0.1420148476190476,0.3063988095238095,9.316071428571428,0.0333333333333333,0.0259515375,0.032275,11.104166666666666,29.845833333333335,3.1,62.3,10.96,16.25,4.6033333333333335,0.0,0.0,926,135,
Maryland,2024-12,4548.0,0.462168718290192,17180.0,0.222187581125192,0.342041026625704,7.97363031233999,3.37560803891449,11.310895048387096,19.86193548387097,10.758064516129032,18.335483870967742,6.73107413516702,9.913975966562171,5.110855496005663,34.39331393280225,8.9,8.9,0.0,8.066666666666666,0.1485708306451613,0.4225806451612903,9.294354838709678,0.2419354838709677,0.0232279516129032,0.0288548387096774,11.157258064516128,26.685483870967744,2.796774193548387,72.3,3.851612903225807,8.370967741935484,-0.993548387096774,0.0,0.0,1131,167,
Maryland,2025-01,4086.0,0.365322327379256,14772.0,0.2101858266129032,0.3405120967741935,8.616935483870968,3.282258064516129,10.042768258064516,19.2625,11.338709677419356,17.850806451612904,7.422654425953079,10.507404692082112,5.49169110459433,37.79979438433276,9.368686868686869,9.368686868686869,0.0,8.681818181818182,0.3879750094670406,0.9230014025245442,10.637798036465638,0.7426367461430575,0.0294924758064516,0.0346854838709677,11.512096774193548,32.11693548387097,3.693548387096774,39.9,-0.7032258064516129,3.5903225806451613,-5.34516129032258,226.0,15.576923076923077,1164,175,
Maryland,2025-02,3982.0,0.3986451435598477,14242.0,0.2061100947802198,0.320150412087912,8.137706043956044,3.043269230769231,8.908583048763736,17.82915521978022,10.97184065934066,16.408653846153847,6.322789685335497,9.41348026973027,5.02014652014652,33.9455340955341,8.796296296296296,8.796296296296296,0.0,8.194444444444445,0.2325986488095238,0.6288194444444445,9.324900793650794,0.4047619047619047,0.0311960447191697,0.0327763431013431,19.24209401709402,30.21214896214896,3.475,58.8,2.9250000000000003,7.932142857142857,-1.6714285714285713,97.0,4.642857142857143,1000,166,
Maryland,2025-03,4804.0,0.4152620592294587,17003.0,0.1971906900529134,0.3104628165242892,7.783642738747929,2.874822134387352,7.828975407258064,17.97782258064516,11.564516129032258,16.560483870967744,5.679510025415445,8.615371456500489,4.850439882697947,30.535291738295076,8.4,8.4,0.0,7.933333333333334,0.2126520026418242,0.5153921023359288,10.314377085650722,0.2263626251390433,0.0379516752688172,0.0441888888888888,11.166881720430109,41.00071684587814,3.903225806451613,79.5,10.383870967741936,16.896774193548385,3.696774193548387,0.0,0.0,1008,159,
Maryland,2025-04,4836.0,0.5388191793137631,17584.0,0.125,0.15,0.0,1.5,6.318199255555555,14.785000000000002,11.46111111111111,13.611111111111107,5.557151871666667,8.339666666666668,5.551666666666667,30.110000000000003,11.966666666666669,11.966666666666669,23.0,11.1,0.2165512499999999,0.47,9.616666666666667,0.1888888888888888,0.0394038146031746,0.04628,10.77010582010582,44.510370370370374,3.793333333333333,59.4,14.886666666666668,20.40666666666667,8.54,0.0,0.0,870,124,
Maryland,2025-05,5114.0,0.6748687583396146,17993.0,,,,,4.829251155913979,10.673655913978491,11.559139784946238,9.672043010752688,4.369651802216749,6.810127125377403,5.538501112347052,24.151585332230493,10.64516129032258,10.64516129032258,23.0,9.838709677419354,0.2904395107526882,0.4602150537634408,9.68279569892473,0.032258064516129,0.0341747959955506,0.0425416759362254,10.638820912124585,40.37641824249166,3.338709677419355,173.9,19.04516129032258,24.26129032258065,13.925806451612903,0.0,0.0,878,133,
Maryland,2025-06,5040.0,0.7297401272883476,18370.0,0.155228,0.19405,7.575,2.05,6.33546853888889,13.132222222222223,11.861111111111112,12.016666666666666,8.824409784588124,12.850169220945082,6.286094690749863,41.93157938613111,14.77777777777778,14.77777777777778,23.0,13.61111111111111,0.2845634722222222,0.5188888888888888,9.805555555555555,0.2222222222222222,0.0349158411111111,0.04644,10.146666666666668,47.43222222222222,2.6,72.7,24.33333333333333,29.83333333333333,19.18,0.0,0.0,881,125,
Maryland,2025-07,5201.0,0.77407479537601,18678.0,0.1,0.1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,2.177419354838709,151.8,26.91290322580645,31.97741935483871,22.05483870967742,0.0,0.0,848,120,
Massachusetts,2018-01,4616.0,0.4523082480567106,28150.0,0.3176529678346311,0.5082574156470152,10.241750092695588,5.206154987022618,10.71880741532567,20.669187986651835,11.173785687801262,19.524626127796317,8.416298537523707,12.791393212522244,5.507407128912505,38.89646014678273,14.977777777777778,14.977777777777778,0.0,13.805555555555555,1.1168100322580643,1.7807786429365962,11.351056729699668,1.946384872080089,0.0279775339431378,0.0327372973939297,11.696064410191218,30.256558212829063,5.958064516129032,124.9,-1.8451612903225805,2.193548387096774,-5.890322580645161,452.0,,1238,281,
