year,month,state,vmt
2004,6,Massachusetts,4694.0
2004,6,New Hampshire,1161.0
2004,6,New Jersey,6030.0
2004,6,New York,11387.0
2004,6,Pennsylvania,9167.0
2004,6,Rhode Island,677.0
2004,6,Vermont,638.0
2004,6,Delaware,852.0
2004,6,District of Columbia,318.0
2004,6,Florida,15175.0
2004,6,Georgia,9085.0
2004,6,Maryland,4849.0
2004,6,North Carolina,8346.0
2004,6,South Carolina,4195.0
2004,6,Virginia,7093.0
2004,6,West Virginia,1781.0
2004,6,Illinois,9816.0
2004,6,Indiana,6386.0
2004,6,Iowa,2793.0
2004,6,Kansas,2465.0
2004,6,Michigan,8684.0
2004,6,Minnesota,5079.0
2004,6,Missouri,6099.0
2004,6,Nebraska,1705.0
2004,6,North Dakota,684.0
2004,6,Ohio,9743.0
2004,6,South Dakota,825.0
2004,6,Wisconsin,5526.0
2004,6,Alabama,4991.0
2004,6,Arkansas,2527.0
2004,6,Kentucky,4072.0
2004,6,Louisiana,3767.0
2004,6,Mississippi,3255.0
2004,6,Oklahoma,3992.0
2004,6,Tennessee,6169.0
2004,6,Texas,18572.0
2004,6,Alaska,483.0
2004,6,Arizona,4909.0
2004,6,California,29342.0
2004,6,Colorado,3636.0
2004,6,Hawaii,730.0
2004,6,Idaho,1300.0
2004,6,Montana,1092.0
2004,6,Nevada,1517.0
2004,6,New Mexico,1928.0
2004,6,Oregon,3153.0
2004,6,Utah,2139.0
2004,6,Washington,4932.0
2004,6,Wyoming,815.0
2004,3,Connecticut,2562.0
2004,3,Maine,1219.0
2004,3,Massachusetts,4360.0
2004,3,New Hampshire,1044.0
2004,3,New Jersey,5985.0
2004,3,New York,11228.0
2004,3,Pennsylvania,8331.0
2004,3,Rhode Island,608.0
2004,3,Vermont,1465.0
2004,3,Delaware,731.0
2004,3,District of Columbia,313.0
2004,3,Florida,16544.0
2004,3,Georgia,9805.0
2004,3,Maryland,4625.0
2004,3,North Carolina,8171.0
2004,3,South Carolina,4391.0
2004,3,Virginia,6886.0
2004,3,West Virginia,1729.0
2004,3,Illinois,8820.0
2004,3,Indiana,6164.0
2004,3,Iowa,2454.0
2004,3,Kansas,2437.0
2004,3,Michigan,8332.0
2004,3,Minnesota,4436.0
2004,3,Missouri,5640.0
2004,3,Nebraska,1588.0
2004,3,North Dakota,564.0
2004,3,Ohio,9121.0
2004,3,South Dakota,649.0
2004,3,Wisconsin,4958.0
2004,3,Alabama,5118.0
2004,3,Arkansas,2649.0
2004,3,Kentucky,4005.0
2004,3,Louisiana,3659.0
2004,3,Mississippi,3281.0
2004,3,Oklahoma,4024.0
2004,3,Tennessee,6057.0
2004,3,Texas,20013.0
2004,3,Alaska,386.0
2004,3,Arizona,4602.0
2004,3,California,27710.0
2004,3,Colorado,4161.0
2004,3,Hawaii,728.0
2004,3,Idaho,1173.0
2004,3,Montana,866.0
2004,3,Nevada,1562.0
2004,3,New Mexico,2025.0
2004,3,Oregon,2856.0
2004,3,Utah,2087.0
